Version,Gay

word,testType,correctResponse,wordCategory,responseTime,numErrors,errorTime,orderInSet
disgusting,Test1,I,Bad,0.06314087,0,0,30
great,Test1,E,Good,0.1210022,0,0,31
delightful,Test1,E,Good,0.1840363,1,0.1122437,32
LGBT,Test1,E,Gay,0.1766815,1,0.1130981,33
amazing,Test1,E,Good,0.231308,1,0.1604309,34
evil,Test1,I,Bad,0.0642395,0,0,35
LGBT,Test1,E,Gay,0.1117401,0,0,36
perverted,Test1,I,Bad,0.08757019,0,0,37
bisexuality,Test1,E,Gay,0.1119232,0,0,38
lesbianism,Test1,E,Gay,0.1996613,1,0.1355438,39
immoral,Test1,I,Bad,0.08123779,0,0,40
beautiful,Test1,E,Good,0.09483337,0,0,41
lesbianism,Test1,E,Gay,0.1925049,1,0.1031036,42
beautiful,Test1,E,Good,0.1976318,1,0.1250916,43
disgusting,Test1,I,Bad,0.05860901,0,0,44
awful,Test1,I,Bad,0.2003937,1,0.08921814,45
enjoyable,Test1,E,Good,0.119873,0,0,46
wonderful,Test1,E,Good,0.1911011,1,0.1436768,47
shameful,Test1,I,Bad,0.04852295,0,0,48
beautiful,Test1,E,Good,0.1520538,0,0,49
lesbian,Test1,E,Gay,0.1764526,1,0.1529083,50
queer,Test1,E,Gay,0.1988983,1,0.1595001,51
delightful,Test1,E,Good,0.2166901,1,0.1924896,52
awful,Test1,I,Bad,0.2085571,1,0.05711365,53
gay,Test1,E,Gay,0.1352844,0,0,54
gross,Test1,I,Bad,0.07209778,0,0,55
gross,Test1,I,Bad,0.207962,1,0.08035278,56
pleasant,Test1,E,Good,0.1119537,0,0,57
bisexuality,Test1,E,Gay,0.2006073,1,0.1350861,58
bisexual,Test1,E,Gay,0.1679077,1,0.1197662,59
lovely,Test1,E,Good,0.2396393,1,0.1513367,60
lesbianism,Test1,E,Gay,0.1875763,1,0.1222534,61
lovely,Test1,E,Good,0.1961517,1,0.1181641,62
queer,Test1,E,Gay,0.1764832,1,0.1202545,63
wonderful,Test1,E,Good,0.2004395,1,0.1445313,64
bisexual,Test1,E,Gay,0.2718506,2,0.08103943,65
wonderful,Test1,E,Good,0.1919403,1,0.09677124,66
perverted,Test1,I,Bad,0.0880127,0,0,67
pleasant,Test1,E,Good,0.1196747,0,0,68

word,testType,correctResponse,wordCategory,responseTime,numErrors,errorTime,orderInSet
lovely,Practice2,E,Good,0.1183624,0,0,0
LGBT,Practice2,I,Gay,0.1681213,0,0,1
homosexuality,Practice2,I,Gay,0.2574921,1,0.06488037,2
immoral,Practice2,I,Bad,0.1755676,1,0.04806519,3
evil,Practice2,I,Bad,0.1915588,1,0.07165527,4
lesbianism,Practice2,I,Gay,0.2090759,1,0.08033752,5
delightful,Practice2,E,Good,0.1267548,0,0,6
bisexuality,Practice2,I,Gay,0.05702209,0,0,7
queer,Practice2,I,Gay,0.1668091,1,0.04788208,8
gross,Practice2,I,Bad,0.2167816,1,0.07261658,9
bisexual,Practice2,I,Gay,0.1604156,1,0.06509399,10
enjoyable,Practice2,E,Good,0.1272583,0,0,11
gay,Practice2,I,Gay,0.07220459,0,0,12
beautiful,Practice2,E,Good,0.111969,0,0,13
perverted,Practice2,I,Bad,0.07221985,0,0,14
shameful,Practice2,I,Bad,0.2000122,1,0.07978821,15
pleasant,Practice2,E,Good,0.1199341,0,0,16
awful,Practice2,I,Bad,0.1036377,0,0,17
amazing,Practice2,E,Good,0.1368866,0,0,18
disgusting,Practice2,I,Bad,0.02258301,0,0,19
lesbian,Practice2,I,Gay,0.192215,1,0.03115845,20
wonderful,Practice2,E,Good,0.1930542,0,0,21
great,Practice2,E,Good,0.1513214,1,0.1443329,22

word,testType,correctResponse,wordCategory,responseTime,numErrors,errorTime,orderInSet
awful,Test2,I,Bad,0.08074951,0,0,0
lesbianism,Test2,I,Gay,0.2068634,1,0.07118225,1
shameful,Test2,I,Bad,0.2247467,1,0.09579468,2
bisexual,Test2,I,Gay,0.2074738,1,0.102951,3
beautiful,Test2,E,Good,0.08843994,0,0,4
amazing,Test2,E,Good,0.1835785,1,0.07208252,5
homosexuality,Test2,I,Gay,0.08045959,0,0,6
queer,Test2,I,Gay,0.2088318,1,0.08917236,7
bisexuality,Test2,I,Gay,0.1746368,1,0.07933044,8
evil,Test2,I,Bad,0.2090149,1,0.08100891,9
enjoyable,Test2,E,Good,0.1189728,0,0,10
shameful,Test2,I,Bad,0.06500244,0,0,11
enjoyable,Test2,E,Good,0.1279907,0,0,12
pleasant,Test2,E,Good,0.2151489,1,0.1192627,13
pleasant,Test2,E,Good,0.1999054,1,0.1031799,14
evil,Test2,I,Bad,0.0723877,0,0,15
lovely,Test2,E,Good,0.1359253,0,0,16
delightful,Test2,E,Good,0.206604,1,0.1252899,17
homosexuality,Test2,I,Gay,0.05867004,0,0,18
queer,Test2,I,Gay,0.1825409,1,0.03962708,19
awful,Test2,I,Bad,0.2010956,1,0.06510925,20
pleasant,Test2,E,Good,0.1597595,0,0,21
disgusting,Test2,I,Bad,0.03102112,0,0,22
delightful,Test2,E,Good,0.1361084,0,0,23
gay,Test2,I,Gay,0.1050262,0,0,24
enjoyable,Test2,E,Good,0.1039276,0,0,25
great,Test2,E,Good,0.2006683,1,0.1130981,26
shameful,Test2,I,Bad,0.07928467,0,0,27
immoral,Test2,I,Bad,0.1842041,1,0.07989502,28
bisexuality,Test2,I,Gay,0.2230072,1,0.1111908,29
bisexuality,Test2,I,Gay,0.192749,1,0.0642395,30
wonderful,Test2,E,Good,0.1274414,0,0,31
great,Test2,E,Good,0.226059,1,0.1140289,32
beautiful,Test2,E,Good,0.2058868,1,0.1274567,33
lesbianism,Test2,I,Gay,0.0644989,0,0,34
delightful,Test2,E,Good,0.135849,0,0,35
lovely,Test2,E,Good,0.2006531,1,0.1447449,36
lesbian,Test2,I,Gay,0.1030426,0,0,37
lesbianism,Test2,I,Gay,0.1920471,1,0.1032104,38
perverted,Test2,I,Bad,0.2478638,1,0.1037903,39
LGBT,Test2,I,Gay,0.1926117,1,0.09602356,40
lesbian,Test2,I,Gay,0.2154541,1,0.1039429,41
homosexuality,Test2,I,Gay,0.2005615,1,0.1037445,42
immoral,Test2,I,Bad,0.1994934,1,0.1041107,43
perverted,Test2,I,Bad,0.2246246,1,0.1445618,44
disgusting,Test2,I,Bad,0.2239838,1,0.1438904,45
gross,Test2,I,Bad,0.1976776,1,0.1181183,46
bisexual,Test2,I,Gay,0.2182617,1,0.08773804,47
gay,Test2,I,Gay,0.1923218,1,0.0725708,48
wonderful,Test2,E,Good,0.1125793,0,0,49
wonderful,Test2,E,Good,0.2229156,1,0.135788,50
lesbian,Test2,I,Gay,0.08078003,0,0,51
great,Test2,E,Good,0.1199493,0,0,52
amazing,Test2,E,Good,0.2171783,1,0.1287689,53
immoral,Test2,I,Bad,0.08654785,0,0,54
bisexual,Test2,I,Gay,0.2173157,1,0.08102417,55
beautiful,Test2,E,Good,0.1422577,0,0,56
gross,Test2,I,Bad,0.06411743,0,0,57
awful,Test2,I,Bad,0.2164917,1,0.08065796,58
gay,Test2,I,Gay,0.1833649,1,0.05528259,59
amazing,Test2,E,Good,0.1445465,0,0,60
lovely,Test2,E,Good,0.2234497,1,0.1751099,61
